query-id	corpus-id	score
1	10751444	1
1	12415691	1
1	12635195	1
1	13405733	1
1	20674668	1
1	20824105	1
1	10265057	1
1	18067556	1
1	26480367	1
1	26071861	1
1	25397102	1
1	12546838	1
1	14871762	1
1	22488036	1
1	62994611	1
1	11813872	1
1	39441617	1
1	95429627	1
1	15083600	1
1	21156767	1
1	42156237	1
1	18448085	1
1	22946204	1
1	54227873	1
1	82246962	1
1	50328713	1
1	20566550	1
1	55953734	1
1	27152464	1
1	32985311	1
1	12011623	1
1	19396040	1
1	22890839	1
1	10624813	1
1	14611516	1
1	34953092	1
1	29839396	1
1	22232367	1
1	12144825	1
1	43720116	1
2	59962788	1
2	16877897	1
2	18297650	1
2	11919526	1
2	81011612	1
2	35990852	1
2	85101052	1
2	12415691	1
2	29524570	1
2	30968749	1
2	34317538	1
2	19796840	1
2	15651486	1
2	13836471	1
2	14789139	1
2	36434348	1
2	27536013	1
2	18301617	1
2	41344156	1
2	10247517	1
2	25959103	1
2	13385306	1
2	11580408	1
2	32959732	1
2	17688766	1
2	20024870	1
2	37764298	1
2	90867631	1
2	29051656	1
2	20001721	1
2	13405733	1
2	10553553	1
2	18176523	1
2	70089206	1
2	57002858	1
2	28126340	1
2	37242217	1
2	10089434	1
2	11957080	1
2	51639418	1
2	20674668	1
2	22776912	1
2	18187364	1
2	83816738	1
2	33381211	1
2	20879311	1
2	31111279	1
2	17111768	1
2	16186411	1
2	29975124	1
3	41344156	1
3	29075857	1
3	18067556	1
3	22259768	1
3	30863060	1
3	42156237	1
3	28790806	1
3	86828820	1
3	51588273	1
3	24668861	1
4	27372171	1
4	46260230	1
4	27126818	1
4	10235211	1
4	13574264	1
4	56286525	1
4	55097118	1
4	18448085	1
4	43752620	1
4	43622023	1
4	28629430	1
5	39776400	1
5	14528265	1
5	29051656	1
5	83816738	1
5	20824105	1
5	33381211	1
5	18067556	1
5	32965335	1
5	44115326	1
5	11813872	1
5	93349646	1
5	26291616	1
5	21366189	1
5	91189201	1
5	11005406	1
5	21807224	1
5	10624813	1
5	14900898	1
5	10820510	1
5	21297521	1
5	66226673	1
5	23464505	1
6	66832845	1
6	32959732	1
6	10089434	1
6	27295996	1
6	18067556	1
6	91189201	1
6	21156767	1
6	11005406	1
6	47919212	1
6	39247950	1
6	21297521	1
7	22323967	1
7	33176873	1
7	17812897	1
7	11592605	1
7	15375009	1
7	11847784	1
7	32896934	1
7	29149998	1
7	11480899	1
7	11763983	1
7	27490876	1
7	24184357	1
7	73077810	1
7	13879043	1
7	18827609	1
7	25676643	1
7	12786012	1
7	87968870	1
7	14225422	1
7	29297973	1
7	18316239	1
7	17855844	1
7	57667857	1
7	32947778	1
7	41523474	1
7	59962788	1
7	86184722	1
7	28419173	1
7	34554248	1
7	91930382	1
7	39650734	1
7	72231872	1
7	13520837	1
7	18422164	1
7	30862904	1
7	20925036	1
7	15576950	1
7	17412079	1
7	93112113	1
7	15041689	1
7	80162314	1
7	14640322	1
7	26289308	1
7	23408537	1
7	18084150	1
7	44476983	1
7	16877897	1
7	29091445	1
7	25724495	1
7	24508725	1
8	16852973	1
8	22323967	1
8	33176873	1
8	17812897	1
8	11592605	1
8	25824789	1
8	15375009	1
8	32896934	1
8	29149998	1
8	11480899	1
8	11763983	1
8	27490876	1
8	24184357	1
8	73077810	1
8	13879043	1
8	18827609	1
8	25676643	1
8	12786012	1
8	87968870	1
8	14225422	1
8	29297973	1
8	49937469	1
8	18316239	1
8	17855844	1
8	57667857	1
8	17422560	1
8	32947778	1
8	19616406	1
8	59962788	1
8	86184722	1
8	34554248	1
8	26202430	1
8	19867922	1
8	30646367	1
8	39650734	1
8	72231872	1
8	13520837	1
8	18422164	1
8	30862904	1
8	28828844	1
8	21830565	1
8	27523575	1
8	39081840	1
8	20925036	1
8	15576950	1
8	29564653	1
8	17412079	1
8	93112113	1
8	15041689	1
8	80162314	1
9	16852973	1
9	33176873	1
9	27018550	1
9	17812897	1
9	15375009	1
9	32896934	1
9	29149998	1
9	11480899	1
9	11763983	1
9	24184357	1
9	73077810	1
9	13879043	1
9	30163002	1
9	12786012	1
9	87968870	1
9	14225422	1
9	29297973	1
9	18334783	1
